eui_kwh_m2,OCEI_kgco2e_m2,rank_eui,rank_ocei,rank_shift,abs_rank_shift
118.43245830785104,40.74199077911643,33.0,19.0,-14.0,14.0
130.64204249900712,45.421178539770544,44.0,39.0,-5.0,5.0
139.66897070383166,48.15205761884124,55.0,56.0,1.0,1.0
85.88782456998179,36.455697843985604,4.0,5.0,1.0,1.0
162.58405168773376,53.2222429860872,86.0,88.0,2.0,2.0
140.52220070353368,49.98892382488824,56.0,69.0,13.0,13.0
146.97593647035592,50.907508386799215,67.0,76.0,9.0,9.0
98.51499720877968,39.770919574643536,8.0,15.0,7.0,7.0
108.98654846537418,40.507115182226876,23.0,18.0,-5.0,5.0
181.51643927301893,55.40111356750136,99.0,95.0,-4.0,4.0
131.73785233625668,44.21871477451872,46.0,36.0,-10.0,10.0
98.038554113861,42.05930916154664,7.0,24.0,17.0,17.0
167.99411852032532,53.6932397899701,91.0,92.0,1.0,1.0
143.47076239253155,52.28968291566841,62.0,83.0,21.0,21.0
166.26483972312317,51.53331945962249,87.0,80.0,-7.0,7.0
117.41050740914312,42.3598654119386,29.0,28.0,-1.0,1.0
116.25933358267898,47.67321644488502,28.0,53.0,25.0,25.0
145.49570658828387,48.715382758675766,65.0,62.0,-3.0,3.0
205.1213727492794,63.200080460899436,110.0,113.0,3.0,3.0
129.6293218775936,46.30512504712947,43.0,43.0,0.0,0.0
107.03865895661488,42.077111595587986,20.0,26.0,6.0,6.0
183.10740372118147,59.42746114950197,101.0,103.0,2.0,2.0
100.49324746233803,41.8301469535136,13.0,23.0,10.0,10.0
186.77507273629823,60.49134630557083,103.0,106.0,3.0,3.0
144.88694097213764,48.814669099988144,64.0,63.0,-1.0,1.0
107.29707069737006,39.74717618069627,21.0,14.0,-7.0,7.0
154.1733237901216,52.11580305306681,76.0,82.0,6.0,6.0
147.7668392806835,50.002939772142575,68.0,70.0,2.0,2.0
150.3796253355834,50.76808679187139,74.0,74.0,0.0,0.0
134.34973580686383,45.169535467114876,49.0,38.0,-11.0,11.0
142.580868160582,48.54626037398995,60.0,61.0,1.0,1.0
117.59897080100124,47.27371703398592,31.0,50.0,19.0,19.0
158.26872878997443,51.947397079723174,80.0,81.0,1.0,1.0
136.37210603803854,47.34776498002402,52.0,51.0,-1.0,1.0
154.3076482383034,49.273551238530835,77.0,65.0,-12.0,12.0
114.44133483480265,38.680712926655765,26.0,10.0,-16.0,16.0
132.85507442765743,47.724851019037544,47.0,54.0,7.0,7.0
205.97088704163744,61.315501473973036,111.0,108.0,-3.0,3.0
133.51925114579146,42.87685557597183,48.0,30.0,-18.0,18.0
158.4609050965116,52.385689909039144,81.0,84.0,3.0,3.0
106.41642214966274,44.89935343647489,19.0,37.0,18.0,18.0
105.5073540422492,42.69212211937834,17.0,29.0,12.0,12.0
166.82287628671048,53.04559366978425,88.0,87.0,-1.0,1.0
208.9007916499932,59.87226740875684,113.0,105.0,-8.0,8.0
150.20190096029532,49.81983823811776,73.0,68.0,-5.0,5.0
83.28795320401612,34.70375470335678,3.0,4.0,1.0,1.0
218.76095197567187,65.36781294942031,115.0,116.0,1.0,1.0
108.60869948153214,39.2590996235464,22.0,12.0,-10.0,10.0
102.69450344886972,40.139742411336215,15.0,17.0,2.0,2.0
98.8898002175118,39.71026014522077,10.0,13.0,3.0,3.0
114.68544389581476,42.07175557814478,27.0,25.0,-2.0,2.0
