feature,pre_mean,post_mean,mean_shift_pct,pre_std,post_std,ks_statistic,ks_p_value,jensen_shannon_distance
cool_set,24.999913371363945,25.078381897230084,0.3138751910877424,0.5786914421559162,0.5544216594438474,0.12244186046511628,0.6125742423015158,0.42266684079449157
shgc_w,0.42498981726636925,0.4432528450353137,4.2972859647359085,0.1302233664721835,0.11707526735865323,0.1213953488372093,0.6236130152577308,0.4260441461553142
u_ground,0.2749895339769045,0.2712082014907832,-1.3750823282019597,0.07234725804132067,0.08270478521928416,0.11732558139534884,0.6643137786615503,0.45804055891395934
u_win_w,1.3998644271573193,1.3582659599559788,-2.9716068495156955,0.34743439232524254,0.36309822192072727,0.11255813953488372,0.7115847680075943,0.4757176609335121
u_win_n,1.4002912461181587,1.4601469070788173,4.27451511437984,0.3470812624078935,0.3514195940351347,0.11209302325581395,0.7172632549950262,0.45138184027446404
aspect_ratio,2.5000139542070023,2.521755211583392,0.86964544097059,0.2893538168287737,0.31100944368528866,0.11034883720930233,0.7346416282939046,0.4154286781010354
equip_power,3.2502131508335004,3.3115981661474065,1.888645835371272,0.43373048178822227,0.42632157338808524,0.10837209302325582,0.7544013317101811,0.4194736279152686
building_width,16.435812713468955,16.18246017073511,-1.5414664741599693,1.6897750347959963,1.6979582399099706,0.10662790697674418,0.7708946339174446,0.3759976538751967
dhw_temp,49.99986620463541,50.23508915157197,0.4704471527460896,2.8932109128246246,3.140471874141016,0.10104651162790698,0.8206835008726718,0.5039484472239631
fresh_air_ach,0.8500475332936667,0.8288584756395365,-2.49269091718074,0.20255677560863522,0.20802410076240738,0.10081395348837209,0.8230752683270902,0.41971623799034985
u_wall,0.5249059773348086,0.5097554999755418,-2.8863221250008952,0.1592105620736064,0.16412807214579897,0.09988372093023255,0.8319921859288641,0.35880087252475434
window_type_id,2.0,1.813953488372093,-9.302325581395355,0.7088812050083358,0.6988362419217079,0.09883720930232558,0.8407527725330013,0.11249697603485274
dhw_per_person,0.12997705542080587,0.13524026728564476,4.049339206676916,0.04051250485980524,0.04072276305464759,0.09790697674418605,0.8475311133325029,0.393907786918891
u_win_e,1.3999588574534994,1.3702349482832878,-2.123198764875045,0.3472972767708009,0.3541012396611086,0.09581395348837209,0.8649055721279598,0.3832008109593359
shgc_n,0.4250313974668923,0.42816137236443025,0.7364102784387372,0.13015682102697618,0.13102597032848287,0.09011627906976744,0.9071787383070994,0.46294348157885096
building_length,42.499551661536934,42.09267265863918,-0.9573724592158217,4.339021681569921,4.693579491686406,0.08988372093023256,0.9085647071956287,0.4425860293504256
shgc_s,0.32500407407359644,0.3264360234805013,0.4405942943904728,0.0723498871723587,0.07396592242562203,0.07883720930232559,0.9654466611504982,0.41460684842199313
room_area,26.000951118479644,25.956736250092156,-0.1700509653897342,2.312971122337849,2.19265208193095,0.07523255813953489,0.9773096667169678,0.3984537481767212
wall_thick,0.24999606879351258,0.24916743370840708,-0.33145924618115385,0.02893009447050422,0.029470395833318327,0.06895348837209302,0.9906514556186449,0.42753077113280985
operation_hours,2500.1951757498277,2488.8503227724495,-0.4537586940177918,289.25105827699315,296.614558503582,0.06709302325581395,0.9931659371305455,0.42651869667166586
roof_insul_thick,0.11499578424179421,0.11400940466093304,-0.8577528188226213,0.020260826945946858,0.021801006566523742,0.06313953488372093,0.9967722264514224,0.4546891622831283
